Solutions for machine 1: [ { a: 87, b: 69, cost: 330 } ] 
Solutions for machine 8: [ { a: 41, b: 56, cost: 179 } ] 
Solutions for machine 15: [ { a: 71, b: 20, cost: 233 } ] 
Solutions for machine 16: [ { a: 82, b: 28, cost: 274 } ] 
Solutions for machine 19: [ { a: 27, b: 22, cost: 103 } ] 
Solutions for machine 21: [ { a: 35, b: 33, cost: 138 } ] 
Solutions for machine 22: [ { a: 19, b: 20, cost: 77 } ] 
Solutions for machine 23: [ { a: 94, b: 37, cost: 319 } ] 
Solutions for machine 27: [ { a: 76, b: 20, cost: 248 } ] 
Solutions for machine 28: [ { a: 73, b: 64, cost: 283 } ] 
Solutions for machine 29: [ { a: 73, b: 48, cost: 267 } ] 
Solutions for machine 30: [ { a: 56, b: 43, cost: 211 } ] 
Solutions for machine 31: [ { a: 85, b: 91, cost: 346 } ] 
Solutions for machine 32: [ { a: 29, b: 42, cost: 129 } ] 
Solutions for machine 34: [ { a: 30, b: 9, cost: 99 } ] 
Solutions for machine 35: [ { a: 81, b: 32, cost: 275 } ] 
Solutions for machine 36: [ { a: 50, b: 12, cost: 162 } ] 
Solutions for machine 38: [ { a: 38, b: 87, cost: 201 } ] 
Solutions for machine 40: [ { a: 16, b: 57, cost: 105 } ] 
Solutions for machine 41: [ { a: 56, b: 33, cost: 201 } ] 
Solutions for machine 42: [ { a: 53, b: 65, cost: 224 } ] 
Solutions for machine 43: [ { a: 8, b: 23, cost: 47 } ] 
Solutions for machine 44: [ { a: 74, b: 14, cost: 236 } ] 
Solutions for machine 45: [ { a: 11, b: 26, cost: 59 } ] 
Solutions for machine 46: [ { a: 88, b: 59, cost: 323 } ] 
Solutions for machine 47: [ { a: 92, b: 44, cost: 320 } ] 
Solutions for machine 48: [ { a: 9, b: 3, cost: 30 } ] 
Solutions for machine 49: [ { a: 56, b: 4, cost: 172 } ] 
Solutions for machine 50: [ { a: 22, b: 58, cost: 124 } ] 
Solutions for machine 52: [ { a: 50, b: 57, cost: 207 } ] 
Solutions for machine 53: [ { a: 21, b: 42, cost: 105 } ] 
Solutions for machine 54: [ { a: 91, b: 12, cost: 285 } ] 
Solutions for machine 56: [ { a: 34, b: 34, cost: 136 } ] 
Solutions for machine 57: [ { a: 50, b: 12, cost: 162 } ] 
Solutions for machine 58: [ { a: 80, b: 3, cost: 243 } ] 
Solutions for machine 60: [ { a: 5, b: 18, cost: 33 } ] 
Solutions for machine 61: [ { a: 33, b: 6, cost: 105 } ] 
Solutions for machine 65: [ { a: 30, b: 31, cost: 121 } ] 
Solutions for machine 72: [ { a: 82, b: 80, cost: 326 } ] 
Solutions for machine 75: [ { a: 46, b: 15, cost: 153 } ] 
Solutions for machine 78: [ { a: 53, b: 90, cost: 249 } ] 
Solutions for machine 82: [ { a: 69, b: 76, cost: 283 } ] 
Solutions for machine 84: [ { a: 62, b: 18, cost: 204 } ] 
Solutions for machine 85: [ { a: 75, b: 39, cost: 264 } ] 
Solutions for machine 86: [ { a: 41, b: 58, cost: 181 } ] 
Solutions for machine 88: [ { a: 67, b: 57, cost: 258 } ] 
Solutions for machine 89: [ { a: 50, b: 30, cost: 180 } ] 
Solutions for machine 92: [ { a: 36, b: 86, cost: 194 } ] 
Solutions for machine 93: [ { a: 32, b: 25, cost: 121 } ] 
Solutions for machine 94: [ { a: 12, b: 24, cost: 60 } ] 
Solutions for machine 95: [ { a: 53, b: 9, cost: 168 } ] 
Solutions for machine 96: [ { a: 93, b: 94, cost: 373 } ] 
Solutions for machine 98: [ { a: 75, b: 54, cost: 279 } ] 
Solutions for machine 99: [ { a: 8, b: 51, cost: 75 } ] 
Solutions for machine 100: [ { a: 41, b: 93, cost: 216 } ] 
Solutions for machine 101: [ { a: 92, b: 21, cost: 297 } ] 
Solutions for machine 104: [ { a: 80, b: 45, cost: 285 } ] 
Solutions for machine 106: [ { a: 25, b: 77, cost: 152 } ] 
Solutions for machine 109: [ { a: 96, b: 66, cost: 354 } ] 
Solutions for machine 110: [ { a: 5, b: 91, cost: 106 } ] 
Solutions for machine 111: [ { a: 52, b: 25, cost: 181 } ] 
Solutions for machine 112: [ { a: 77, b: 85, cost: 316 } ] 
Solutions for machine 113: [ { a: 70, b: 14, cost: 224 } ] 
Solutions for machine 115: [ { a: 26, b: 43, cost: 121 } ] 
